group,parameters,fraction_percent
encoder,5590666,64.51233446595343
decoder,1880047,21.694413666585046
final_decoder,750368,8.658716401328311
initial_encoder,357008,4.119620006457389
z_proj,65792,0.7591931818470301
dec_pos_embed,11264,0.12997859922672889
enc_pos_embed,9856,0.11373127432338778
init_global_vectors,1024,0.01181623629333899
dec_final_proj,17,0.00019616798533863557
